customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
C00073,Male,Yes,Yes,No,49,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,66.99,3283.11,0
C00074,Female,No,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,73.74,767.88,1
C00075,Female,No,No,No,11,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card,74.85,721.21,1
C00076,Female,No,Yes,Yes,43,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Credit card,98.86,4229.94,0
C00077,Female,No,Yes,Yes,40,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,Yes,Electronic check,69.89,2757.81,0
C00078,Male,No,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,28.08,661.23,0
C00079,Male,No,No,No,47,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,68.76,3266.04,1
C00080,Male,Yes,No,Yes,27,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,92.06,2439.85,0
C00081,Male,Yes,Yes,No,18,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card,95.64,1721.84,1
C00082,Female,No,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,26.86,1171.37,1
C00083,Male,Yes,Yes,No,25,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,98.36,2454.59,1
C00084,Female,No,Yes,No,69,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,102.25,6991.92,0
C00085,Female,No,Yes,No,62,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Electronic check,91.73,5737.75,0
C00086,Female,Yes,No,No,12,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Bank transfer,80.03,939.08,1
C00087,Male,No,Yes,Yes,28,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Mailed check,61.35,1709.98,1
C00088,Female,No,Yes,No,13,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,84.49,1035.84,1
C00089,Female,No,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,33.74,434.97,1
C00090,Male,No,No,Yes,7,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.43,623.73,1
C00091,Female,No,Yes,No,20,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,75.26,1540.62,0
C00092,Male,No,Yes,No,22,Yes,Yes,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Mailed check,80.72,1841.54,1
C00093,Female,No,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,22.02,484.63,0
C00094,Female,No,No,No,43,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,731.05,0
C00095,Female,No,No,No,63,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Two year,Yes,Electronic check,87.46,5464.5,0
C00096,Male,No,Yes,Yes,29,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Credit card,97.51,2826.72,0
C00097,Female,No,Yes,No,43,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,89.71,3861.16,1
C00098,Female,No,No,Yes,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer,28.12,587.14,0
C00099,Female,No,Yes,No,23,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.92,1953.39,1
C00100,Male,No,No,No,15,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,21.02,329.16,0
C00101,Male,No,No,No,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,35.55,220.54,0
C00102,Male,Yes,No,No,43,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card,69.48,3026.51,0
C00103,Female,No,Yes,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,87.94,206.75,1
C00104,Male,No,Yes,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,108.38,4596.62,1
C00105,Male,No,No,No,29,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,73.61,2143.79,0
C00106,Male,No,Yes,No,32,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Bank transfer,71.44,2246.21,1
C00107,Female,No,Yes,No,51,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,86.91,4453.64,0
C00108,Female,No,Yes,No,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,28.54,1061.99,0
C00109,Female,No,Yes,No,42,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.1,4386.62,1
C00110,Male,Yes,Yes,No,21,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,78.58,1602.54,1
C00111,Female,No,No,No,33,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,101.45,3327.42,1
C00112,Female,No,No,No,43,No,No phone service,Fiber optic,Yes,Yes,No,Yes,Yes,No,One year,Yes,Bank transfer,93.25,3992.18,0
C00113,Female,No,Yes,Yes,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,25.91,975.59,0
C00114,Male,Yes,Yes,No,13,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,79.66,957.54,1
C00115,Female,Yes,Yes,No,40,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,98.12,4010.08,1
C00116,Male,No,Yes,Yes,10,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer,73.25,699.27,1
C00117,Male,No,Yes,Yes,38,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Credit card,105.25,3921.87,0
C00118,Male,No,Yes,Yes,8,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,94.26,695.9,1
C00119,Female,No,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Mailed check,103.93,7237.96,0
C00120,Male,No,No,No,34,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,83.63,2697.62,0
C00121,Male,No,Yes,Yes,44,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,24.53,1113.78,0
C00122,Male,Yes,Yes,No,9,Yes,Yes,DSL,No,No,Yes,No,Yes,No,One year,Yes,Credit card,66.69,625.65,0
C00123,Female,No,No,No,32,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.52,1049.61,0
C00124,Female,No,No,Yes,14,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,74.28,983.27,0
C00125,Female,No,Yes,No,3,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer,88.86,302.35,1
C00126,Female,No,Yes,Yes,63,Yes,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,75.68,4753.58,0
C00127,Female,No,No,Yes,3,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,56.14,229.56,1
C00128,Female,No,No,No,55,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Mailed check,91.53,4937.34,0
C00129,Female,No,No,No,57,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer,38.62,2159.12,0
C00130,Male,No,No,No,30,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer,105.24,3107.84,1
C00131,Female,No,Yes,No,47,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,93.56,4340.19,0
C00132,Male,No,Yes,No,9,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,No,Electronic check,75.66,703.91,0
C00133,Male,No,Yes,No,25,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.54,566.98,0
C00134,Female,No,No,No,9,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,82.38,775.29,1
C00135,Male,Yes,No,Yes,16,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card,101.52,1624.6,1
C00136,Female,Yes,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.26,1653.57,0
C00137,Male,No,Yes,No,3,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,69.51,233.06,1
C00138,Female,No,Yes,Yes,10,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer,66.79,627.17,0
C00139,Male,No,No,No,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer,18.51,563.93,0
C00140,Female,No,Yes,Yes,29,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.4,1860.87,1
C00141,Female,No,No,No,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,115.16,2915.87,1
C00142,Female,No,No,No,17,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.71,689.14,0
C00143,Male,No,Yes,Yes,59,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,98.03,5800.55,0
C00144,Male,No,No,No,2,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,91.21,136.41,1
C00145,Female,No,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,90.11,1781.23,0
C00146,Female,No,No,No,37,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Bank transfer,76.23,2843.43,1
C00147,Female,No,Yes,Yes,45,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,78.68,3552.13,0
C00148,Male,No,No,No,24,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card,88.98,2127.79,1
C00149,Female,No,No,No,31,Yes,Yes,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer,61.26,1966.08,0
C00150,Female,No,No,No,45,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card,99.21,4449.85,0
C00151,Male,No,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer,28.94,150.85,0
C00152,Male,No,Yes,Yes,13,Yes,Yes,DSL,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer,69.01,943.67,0
C00153,Female,Yes,Yes,No,53,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Electronic check,85.97,4597.42,0
C00154,Male,No,No,No,47,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Credit card,120.86,5665.92,1
C00155,Female,Yes,No,Yes,65,No,No phone service,Fiber optic,No,No,No,No,No,No,Two year,Yes,Mailed check,66.5,4263.85,0
C00156,Male,No,No,Yes,56,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,80.73,4420.87,1
C00157,Female,No,Yes,No,30,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,96.5,2895.86,1
C00158,Male,No,No,No,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card,32.0,906.69,0
C00159,Male,No,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,99.56,2056.8,1
C00160,Male,No,Yes,No,38,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,87.5,3329.74,1
C00161,Female,Yes,Yes,Yes,13,No,No phone service,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Credit card,60.6,831.76,1
C00162,Male,No,No,Yes,45,Yes,No,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,66.28,2934.71,0
C00163,Female,No,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,88.19,2876.62,1
C00164,Female,No,No,No,11,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Credit card,75.85,760.43,0
C00165,Male,No,Yes,No,8,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card,77.49,597.96,1
C00166,Female,No,No,No,3,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,76.55,256.58,1
C00167,Male,No,Yes,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.98,1338.22,0
C00168,Male,No,No,No,58,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,Two year,Yes,Mailed check,100.24,5807.78,0
C00169,Female,No,Yes,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card,25.09,974.16,0
C00170,Male,No,Yes,Yes,38,Yes,Yes,DSL,No,No,No,Yes,No,No,Two year,Yes,Electronic check,63.15,2460.86,0
C00171,Female,No,No,No,17,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,97.01,1687.86,1
C00172,Male,No,No,No,27,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Bank transfer,92.27,2444.46,1
C00173,Female,No,No,No,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,26.76,915.67,0
C00174,Male,No,Yes,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card,92.1,2047.54,1
C00175,Female,No,Yes,Yes,53,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,72.85,3950.14,1
C00176,Female,No,Yes,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,96.69,4292.8,1
C00177,Female,No,No,No,2,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card,100.48,252.77,1
C00178,Male,No,No,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Bank transfer,76.95,3766.93,0
C00179,Male,No,Yes,No,55,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.37,1121.42,0
C00180,Male,No,Yes,Yes,34,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Two year,No,Credit card,103.62,3536.35,0
C00181,Male,No,Yes,No,28,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer,105.19,2926.74,1
C00182,Male,No,Yes,Yes,65,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,23.86,1599.88,0
C00183,Male,No,Yes,Yes,32,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.0,562.94,0
C00184,Female,No,Yes,Yes,32,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,76.3,2460.96,0
C00185,Male,No,Yes,No,38,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card,18.81,656.22,0
